TSP;KP;cost;rank;crowding_distance;fitness
"[  0  20 253 123  45 221 135 228  12 232  87  14  78  40 244 252 101 158
  10  97  44  54 136 275  25 200  48  59 116  24  57  17 210 132 205  28
 100  53 250 246 189  19 108  67  64  55 257 117  92 148 240  58 263 106
   1  72  68 143  46 149 208 184 122  26  16 114 170 260  82 234 168 163
 227 181 102 238 214 174 201 172 128 180   8  56 194 231 125 237  27   9
 176  65  13 134   4 277 171   3 154  85 243 190 103  60 278  37 112 127
 235 219  41  88 207 236 209  34  76  75  52 109  62 258 113 160 186  29
 242  86  39  50 199 273 204 251 120 175 173 198 202 197 217 152  36  18
 220 153 177 187 225 147 178 146 271  30  84 247 162 130  21 188 264 107
 141 110 192 121 185  74 259  61 156  33  22 196 142   6  15 105 144  63
  90  42  73 161  83 262 245 104  99  94 211  69 230 138  23 118 226 279
  95 223 145 179 224 222 203 111 183 124  49 191 274 266 254 270 248 167
  32 150 157   5  93 164 267 133 115 193  31  81  35 268 241  38  71 119
  96  43 212 272 195  89 276 182  47 131 216  11  51 218 256 166 239   2
  77 169 137 213 249 265 155 165  79 126  80 151   7  70  98 229  66  91
 261 215 233 129 269 139 206 140 159 255]";"[0 1 0 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 0 0 0 0 1 1 1 1
 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 0 1 0 1 0 1
 0 0 0 0 1 1 1 0 0 0 1 1 0 1 1 0 1 0 0 0 1 1 1 1 1 1 0 0 1 0 1 0 1 1 0 0 1
 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 0 1 0 1 1 0 0 1 1 0
 1 1 1 0 1 1 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 1 0 1
 1 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1 0 0 1 1 1 0 0 1 0 1 1 0 1
 1 0 0 1 0 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0
 1 1 0 0 0 1 1 1 0 0 1 1 0 0 0 1 0 1 1 0]";[0.9200241 0.       ];0;inf;[  34140.71937876 -206444.        ]
"[  0   8   6   7   9 202 160 189 203 211 214 222 221 229 243 239 238  10
 271 267  15 260 277   1 231 225 233 237 240 245 249 256 268 135 137 195
 200 199 201 139 148 155  78  93  95  82 115 113 154 129 126  27 123 125
 120  46  66  73  63 192 191 193 220 218 144 185 107 112  87 111 266 264
 140 209 226 223 215 219 182 174  64  85 108  38  34  28 124  20  19 138
 141 147 146 156  58  53  54  52  49  48  51  50  36  35  33  31 270 227
 234 217 216 178 180 179 165 168 170  76  77  74  70  84  86  75  94  90
  79  67  43  45  47  29  24  23  11 246 250 251 208 207 205 252 261 259
 257 116  56  55  57 186 183 244 241 242 248 213 212 145 157  59  61  69
  71  72 110 262 230 236 228 254 206 136 153 127 128  13   5   4 275 143
 198 197 196 184 181 176 159  89  80  81  65  62 117 167  98  96 163 164
 162 187 190 188 166 171 101 102 104 105 194 142 152 122 121 106 103  88
  44  26  25  21 263 253 235 224 210 255 273 274 119  42  41  37  39  40
  60 114 109 172 158 118 175 161  83  68  32  30 131  14  12 133 132 177
 150 151 149 265 258 272  16 269 134 130  17  22  18 276 247 232 169  92
  97  91  99 100 173 204 278   3   2 279]";"[0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0
 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0
 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1]";[0.         0.94119344];0;inf;[ 10601.84138088 -33559.        ]
"[  0   8   6   7   9 202 160 189 203 211 214 222 221 229 243 239 238  10
 271 267  15 260 277   1 231 225 233 237 240 245 249 256 268 135 137 195
 200 199 201 139 148 155  78  93  95  82 115 113 154 129 126  27 123 125
 120  46  66  73  63 192 191 193 220 218 144 185 107 112  87 111 266 264
 140 209 226 223 215 219 182 174  64  85 108  38  34  28 124  20  19 138
 141 147 146 156  58  53  54  52  49  48  51  50  36  35  33  31 270 227
 234 217 216 178 180 179 165 168 170  76  77  74  70  84  86  75  94  90
  79  67  43  45  47  29  24  23  11 246 250 251 208 207 205 252 261 259
 257 116  56  55  57 186 183 244 241 242 248 213 212 145 157  59  61  69
  71  72 110 262 230 236 228 254 206 136 153 127 128  13   5   4 275 143
 198 197 196 184 181 176 159  89  80  81  65  62 117 167  98  96 163 164
 162 187 190 188 166 171 101 102 104 105 194 142 152 122 121 106 103  88
  44  26  25  21 263 253 235 224 210 255 273 274 119  42  41  37  39  40
  60 114 109 172 158 118 175 161  83  68  32  30 131  14  12 133 132 177
 150 151 149 265 258 272  16 269 134 130  17  22  18 276 247 232 169  92
  97  91  99 100 173 204 278   3   2 279]";"[0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0
 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0
 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1]";[0.         0.94119344];0;inf;[ 10601.84138088 -33559.        ]
"[  0   3   8   6   7   9 202 160 189 203 211 214 222 221 229 243 239 238
  10 271 267  15 260 256 277   1 231 225 233 237 240 245 249 268 135 137
 200 195 199 201 139 148 155  78  93  95  82 115 113 154 129 126  27 123
 125 120  46  66  73  63 192 191 193 220 218 144 185 107 112  87 111 266
 264 140 209 226 223 215 219 182 174  64  85 108  38  34  28 124  20  19
 138 141 147 146 156  58  53  54  52  49  48  51  50  36  35  33  31 270
 227 234 217 216 178 180 179 165 168 166  76  77  74  70  84  86  75  94
  90  79  67  43  47  45  29  24  23  11 246 250 251 208 207 252 205 259
 261 257 116  56  55  57 186 183 244 241 242 248 213 212 145 157  59  61
  71  69  72 110 262 230 236 228 254 206 136 153 127 128  13   5 275   4
 143 198 197 196 184 181 176 159  89  81  80  65  62 117 167  98  96 163
 164 162 187 190 188 170 101 171 102 104 105 194 152 142 121 122 106 103
  88  44  26  21  25 263 253 235 224 210 255 273 274 119  41  42  37  39
  40  60 114 109 172 118 158 175 161  83  68  32  30 131  14  12 133 132
 150 177 151 149 265 258 272  16 269 134 130  17  22  18 276 247 232 169
  92  97  91  99 100 173 204 278   2 279]";"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
 1 0 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0
 0 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0
 1 1 1 1 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1
 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]";[0.01278747 0.44567661];0;1.2558394175824237;[  10929.00963251 -124579.        ]
"[  0  54  29 148  40 252 183 162 249 138 227 105 150 136 158  24  70 264
  10 258   5 116 275 244 198 102 154 270 121  75 200  13 218  43 201 250
   2 234 233 196 113 219  88 221 129  76 120 268  50 111 149   6 184 276
  65 254 229 132 181 110 192 177  60 117 243 188 151  73 107  33  91 242
 245  12  90  86  77 208 260  46 125  18  28  26 153 146 255  42 236  17
 248 165 172 147 160 176 168 169 224 265 251   9 246 222 100 241 137 213
  93 235 205 274  41  96  57  69  38 103 179  64 174   1  15 185 226 261
 279  99 228 211  59  74 119 156 277  95  48  44  66 106 171  58  25 175
  32 272 109 206  97 267 178  80 256 114  79 197  94 191  45  23  19 127
 124 240  21  67  39 133 195  81 217 128 186 155 173  78 101 180 164   7
 278  16 134 209  14 152  85 190 144  63  62  68 115  55  52  83 157 163
  27 131  51 193  56 142 259 167  61 231  11 187  30 108  47  82  20 273
 123  71  87 170 216 223 189  35 182 202 238 122 207 232 210 139 126 141
   8 145 159 253 239 269 247   3 130 104 220 135 230 262 166 214 203  36
  34  31 271  98  72  53 143 161 194   4  89  92 118  37 199 215 112 225
 263  22 140 266 204 237 212  84 257  49]";"[0 0 1 0 1 1 0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 0 1
 1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0
 0 1 1 1 1 1 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 0
 1 0 0 1 0 1 1 1 1 1 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1 0
 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 1 1 0 1
 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 0 0 1 1 0 1 1 1 1 0 1 0 0 1 0 1 0 1 0 1
 1 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 1 1 0 0 1 1 0 1
 1 1 0 0 0 1 1 0 0 0 1 0 1 1 1 1 1 1 0 0]";[0.81271412 0.12812012];0;1.2271572370068609;[  31395.18629199 -182910.        ]
"[  0   3   8   6   7   9 202 160 189 203 211 214 222 221 229 243 239 238
  10 271 267  15 260 277   1 231 225 233 237 240 245 249 256 268 135 137
 200 195 201 199 139 148 155  78  93  95  82 115 113 154 129 126  27 123
 125 120  46  66  73  63 192 191 220 193 218 144 185 107 112  87 111 266
 264 140 209 226 223 215 219 182 174  64  85 108  38  34  28 124  20  19
 138 141 147 146 156  58  53  54  52  49  48  51  50  36  35  33  31 270
 227 234 217 216 178 180 179 165 168 170  76  77  74  70  84  86  75  94
  90  79  67  43  47  45  29  24  23  11 246 250 251 208 207 252 205 259
 261 257 116  56  55  57 186 183 244 241 242 248 213 212 145 157  59  61
  71  69  72 110 262 230 236 228 254 206 136 153 127 128  13   5 275   4
 143 198 197 196 184 181 176 159  89  81  80  65  62 117 167  98  96 163
 164 162 187 190 188 166 101 171 102 104 105 194 142 152 122 121 106 103
  88  44  26  21  25 263 253 235 224 210 255 273 274 119  41  42  37  39
  40  60 114 109 172 158 118 175 161  83  68  32  30 131  14  12 133 132
 150 177 151 149 265 258 272  16 269 134 130  17  22  18 276 247 232 169
  92  97  91  99 100 173 204 278   2 279]";"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1
 0 0 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 0
 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0
 1 1 1 1 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1
 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]";[0.00951609 0.48842869];0;0.5076930446992901;[  10845.31110173 -116726.        ]
"[  0 160 189 203 211 214 222 221 229 243 239 238  10 271 267  15 260 277
   1 231 225 233 237 240 245 249 256 268 135 137 195 200 199 201 139 148
 155  78  93  95  82 115 113 154 129 126  27 123 125 120  46  66  73  63
 192 191 193 220 218 144 185 107 112  87 111 266 264 140 209 226 223 215
 219 182 174  64  85 108  38  34 124  28  20  19 138 141 147 146 156  58
  53  54  52  49  48  51  50  36  35  33  31 270 227 234 217 216 178 180
 179 165 168 170  76  77  74  70  84  86  75  94  90  79  67  43  45  47
  29  24  23  11 246 250 251 208 207 205 252 259 261 257 116  56  55  57
 186 183 244 241 242 248 213 212 145 157  59  61  69  71  72 110 262 230
 236 228 254 206 136 153 127 128  13   5   4 275 143 198 197 196 184 181
 176 159  89  80  81  65  62 117 167  98  96 163 164 162 187 190 188 166
 101 171 102 104 105 194 142 152 122 121 106 103  88  44  26  25  21 263
 253 235 224 210 255 273 274 119  42  41  37  39  40  60 114 109 172 158
 118 175 161  83  68  32  30 131  14  12 133 132 177 150 151 149 265 258
 272  16 269 134 130  17  22  18 276 247 232 169  92  97  91  99 100 173
 204 278   3   2   8   6   7   9 202 279]";"[0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0
 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 0 0 0
 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 1 0 0 0
 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1]";[0.00915542 0.91979835];0;0.45871402944000766;[ 10836.08330881 -37489.        ]
"[  0   1  11  21 183  71 249 136 172 121  38  73  42 152 255 227 151 159
  79 260 141 103 118 231 189 242 212  63  90  85  95 218  56 225 206  81
  87 274  69  59 271  98 232  43 175 113 243 125 154 171 215  60 208 148
  82 237 179 251 276 278  75 230 220 268 133  70 112  64 190 245 234 252
 266 247 100 223 210 144   3 174 211  51 197   5  36  32  31 201 147 265
 204 258  37  67 246  50 139 129 267  25  96  68 205  94  77 135 156  84
 138  93 124 188 229 131 142  76 167 238 126 196  24 217 235 166 161  12
 114 102 202  86 207   2 115  22 157 109 275  39 158 150 177 259  45 173
  61 222 241 263  19 194 120 269 108 127  48 213 262 192  17 165 122 155
 228  65 116 149 170  78 145  33  29  27 257  97 119 248 140 178  54 219
 254 214 233 146 253  35  58   6  26  91  40 180  83 239 164 107 176  18
 193  66  89  88  72 200 106 105 240 198 203 134  28  62 123 181 110  80
  46 169 130 264 185 117 111  13 153 277   7 187 184  74 221 209  49  47
 128 163  15 273   4 272 168 160 195 216  10 104 226  41  20 101  92  99
 137 270  23  57  44 162 236 199 132  14 279 224 186   9 182 256  53  34
  55  16 250   8 261  30 143  52 244 191]";"[0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 1 1 1 0 0 1 0 0 1 0
 0 1 0 1 1 0 1 0 1 0 1 0 1 1 1 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 1
 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1
 1 1 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 1 0 1 1 1 0 0 1 1
 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 0 0
 0 1 1 1 1 0 1 1 0 0 0 1 1 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 1 1 1 1 0 1 0
 0 0 0 0 1 1 1 1 0 1 1 0 1 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 0 1
 0 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 1]";[0.85571514 0.06688007];0;0.17663060018554166;[  32495.37018321 -194159.        ]
"[  0 262  58 228 184  31 130 244  88  21  59  40 102  80 222 173  55  43
 181  71  77 174 189 256  24  22 204 144 214 219 104 273  81 124  44  47
 257 156 252 150  25 135  99 151 111  34 260   6  51  18 139   9 155 126
  74 203  90  82 234 248  54 261  87  17 133  63 138   4  14  75 193 272
  49  97 168 105 208 205 202 164 245 194 251 107 171 249 158 199  93 218
  89 226 137 175  13 143 230 240 178  96 101 274  46  56 265  65  61   3
 258 132  28   5  42 223  53 103 276 182 231   2  85  66 266  16 183  84
 225  12  83 172  30 147 154 201 106 267 254 263 142 177 238 188 195  52
 140 220 221 176 242 120 110 268 162 131 129  94 210 253   7  86  23 149
 192  11  35 185 213 277 275 113 159  62 146 148  15 241 235 153  98 169
 212 270  45 227 279 200 108  73 141 152 170 197 246 114 198 109  32 165
 271 121  57 187 232  64 128  60 116  36  78  95  91 207 259 255 264  50
  72 123 160 243 179  41 278 229   1  19 117 127  69 118  67  39 237  48
 125  70 215  37 211   8  33 100  26  20 269 115 250 161 157  38 136 134
 119 233 236 209  27 206 239  92 112  68 180 163  29 145 190 166 217 167
 122 224  76 186 191  10  79 196 247 216]";"[0 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 1 0 0 1 0 1 0 1
 1 1 0 1 1 1 1 1 1 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 1 1 1 0 0 1 1 0 1 1 1 1 1
 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 1 0 1 1 0 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1
 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0
 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 1 1
 1 1 0 1 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1
 1 1 0 1 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 1
 1 1 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0]";[0.87394333 0.00541138];0;0.14095801562263158;[  32961.73985372 -205450.        ]
"[  0  14 252 118  74 261 226 237 262 239 211   3  84 272 230   5 225 115
  69 243  70 167 232  91 106 108  16 113 178 209 143 184 160 157 190 204
 165  85  93  46 174 195  40 156  38 141 228  31 128 140  22  15  17  19
  42 274   9  79  64 234  43  56  73  54 151 258 169 238 265 263  58 244
 216  21 101 181  88  83  10  34  59  78 172 215 187  89 259 200   2 199
  55  53 126 150  26  12 268  39 125  62  29 107  25 275 255  60 191  95
  23 177 222 103  82  99 213 247   7 133 117  52 207  30 221 105 116  47
  97 227  86 196  65 170 110  44  50 124 220 158 123 273 161  80 130 119
 109 182 256 231 233 202  18  92 241 131 224  51  28  96 217 249 276 164
 138 223 179 192 194 183 246  76 134  63 139 102  49 208  32 148 104  77
 210 142 120  67  81  13 149 188  68 153 278 270 253 257   4  20 100  35
 267 146 193  11 206  94 197 145  45  71 154  57 205  98 114 173 201  33
 112 168 242 269 240   1  36 136  75 214 235 152 198 236 260 271 279 186
 155 250 127 132 277  41 166 245   8 180 218 264 219 251 229 189  24  48
  66 162 171 111 185 203 129 144  37 137 135 176 212  87  27 248 121 254
 266  72  90 122 147 159  61 163   6 175]";"[0 0 1 1 0 1 1 1 1 0 1 1 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1 0 1 0 1 0 0 1 1 0 1
 0 0 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 0 1 0 1 1 1 0 1 1
 0 1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 1 0 1 0 0 0 1 0 1
 1 0 1 1 0 1 1 0 0 1 0 0 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 1 0 0 0 1 0 0 1 1
 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0
 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 1 0 1
 1 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0
 1 0 0 1 0 1 0 0 0 1 0 1 1 1 1 1 0 1 0 0]";[0.82641733 0.12303538];0;0.11180538517661204;[  31745.78374558 -183844.        ]
