,city,X,Y,items,weights,profit
0,0,5639,6909,[],[],[]
1,1,5652,6142,"[0, 4460, 8920, 13380, 17840]",[1008 1009 1001 1005 1003],[  1 594 864 631 421]
2,2,5654,6101,"[1, 4461, 8921, 13381, 17841]",[1006 1006 1000 1001 1006],[896 121  93 330 648]
3,3,5659,6910,"[2, 4462, 8922, 13382, 17842]",[1006 1009 1002 1005 1007],[367 465 698 517 560]
4,4,5659,6920,"[3, 4463, 8923, 13383, 17843]",[1001 1001 1007 1005 1003],[690 892 280 675 812]
5,5,5661,6182,"[4, 4464, 8924, 13384, 17844]",[1006 1001 1008 1000 1009],[613 505 249 703 441]
6,6,5663,6830,"[5, 4465, 8925, 13385, 17845]",[1001 1005 1005 1001 1008],[874 257 759 560 106]
7,7,5669,6213,"[6, 4466, 8926, 13386, 17846]",[1009 1002 1002 1005 1000],[122 636 330 884 104]
8,8,5670,6425,"[7, 4467, 8927, 13387, 17847]",[1004 1000 1006 1002 1007],[486 637 726 805 280]
9,9,5671,6870,"[8, 4468, 8928, 13388, 17848]",[1001 1002 1005 1003 1005],[823 832 743 851 658]
10,10,5673,6132,"[9, 4469, 8929, 13389, 17849]",[1003 1003 1007 1004 1002],[463 827 453 878 555]
11,11,5682,6840,"[10, 4470, 8930, 13390, 17850]",[1004 1000 1005 1003 1003],[ 589 1000  365  660  792]
12,12,5690,6891,"[11, 4471, 8931, 13391, 17851]",[1009 1007 1004 1006 1009],[325 294 158 140 109]
13,13,5694,6801,"[12, 4472, 8932, 13392, 17852]",[1006 1004 1009 1004 1007],[1000  950  397  965  822]
14,14,5698,6265,"[13, 4473, 8933, 13393, 17853]",[1005 1000 1000 1006 1009],[776 592 141  17 228]
15,15,5698,6952,"[14, 4474, 8934, 13394, 17854]",[1000 1007 1008 1001 1000],[123 407 454 549 278]
16,16,5701,6184,"[15, 4475, 8935, 13395, 17855]",[1000 1005 1007 1000 1004],[356 589 713 672  75]
17,17,5701,6407,"[16, 4476, 8936, 13396, 17856]",[1007 1005 1003 1001 1005],[305 627 188 441 136]
18,18,5712,6154,"[17, 4477, 8937, 13397, 17857]",[1006 1008 1006 1000 1007],[ 47  55 734  60 183]
19,19,5716,6296,"[18, 4478, 8938, 13398, 17858]",[1008 1002 1004 1000 1005],[645 455 903 160 889]
20,20,5720,6438,"[19, 4479, 8939, 13399, 17859]",[1000 1003 1005 1007 1005],[139 518 221 171 448]
21,21,5722,6397,"[20, 4480, 8940, 13400, 17860]",[1009 1000 1007 1008 1006],[247 329 858 748 294]
22,22,5722,6873,"[21, 4481, 8941, 13401, 17861]",[1009 1000 1006 1003 1009],[211 244 393 214 754]
23,23,5730,6458,"[22, 4482, 8942, 13402, 17862]",[1007 1004 1003 1009 1006],[100 215 637 448 459]
24,24,5731,6893,"[23, 4483, 8943, 13403, 17863]",[1004 1004 1000 1000 1006],[627 754 414 840 583]
25,25,5736,6317,"[24, 4484, 8944, 13404, 17864]",[1002 1009 1000 1004 1008],[760 205 850 537 756]
26,26,5737,6064,"[25, 4485, 8945, 13405, 17865]",[1006 1004 1001 1008 1005],[776 763 871 896 139]
27,27,5738,6034,"[26, 4486, 8946, 13406, 17866]",[1006 1007 1003 1001 1000],[475 905 361 898 974]
28,28,5738,6267,"[27, 4487, 8947, 13407, 17867]",[1007 1004 1002 1000 1006],[937 939 436 749 323]
29,29,5740,5984,"[28, 4488, 8948, 13408, 17868]",[1008 1008 1002 1007 1005],[101 893 680 888 907]
30,30,5741,6206,"[29, 4489, 8949, 13409, 17869]",[1008 1004 1001 1004 1000],[281 315 143 846 874]
31,31,5741,6418,"[30, 4490, 8950, 13410, 17870]",[1008 1002 1008 1006 1009],[751 416 467 406 873]
32,32,5744,6368,"[31, 4491, 8951, 13411, 17871]",[1006 1008 1004 1003 1008],[530 332 929 251 594]
33,33,5744,6823,"[32, 4492, 8952, 13412, 17872]",[1004 1000 1009 1000 1001],[240 769 340 870 702]
34,34,5746,6783,"[33, 4493, 8953, 13413, 17873]",[1005 1006 1004 1007 1002],[248 813 894 771 931]
35,35,5748,6490,"[34, 4494, 8954, 13414, 17874]",[1000 1006 1002 1001 1001],[768  81 887 357 274]
36,36,5748,6965,"[35, 4495, 8955, 13415, 17875]",[1003 1000 1007 1006 1007],[ 31 282 906 282 244]
37,37,5749,6944,"[36, 4496, 8956, 13416, 17876]",[1007 1002 1008 1002 1001],[613 731 612 642 425]
38,38,5750,6227,"[37, 4497, 8957, 13417, 17877]",[1004 1009 1006 1001 1004],[881 291 118 327 531]
39,39,5756,6308,"[38, 4498, 8958, 13418, 17878]",[1007 1001 1004 1007 1006],[367 659 937 243 404]
40,40,5758,6733,"[39, 4499, 8959, 13419, 17879]",[1000 1001 1003 1003 1003],[712 823 907 304   2]
41,41,5761,6440,"[40, 4500, 8960, 13420, 17880]",[1007 1002 1004 1002 1003],[410 265 635  91 786]
42,42,5762,6187,"[41, 4501, 8961, 13421, 17881]",[1009 1005 1001 1009 1009],[157 515 226 850  24]
43,43,5763,6389,"[42, 4502, 8962, 13422, 17882]",[1000 1008 1009 1007 1001],[824 921 690 748 192]
44,44,5774,6127,"[43, 4503, 8963, 13423, 17883]",[1000 1000 1009 1007 1007],[242 516 917 585 249]
45,45,5776,6319,"[44, 4504, 8964, 13424, 17884]",[1005 1004 1009 1004 1003],[472 831 183 821 506]
46,46,5776,6774,"[45, 4505, 8965, 13425, 17885]",[1006 1008 1008 1001 1005],[722 572 166 607 180]
47,47,5777,6289,"[46, 4506, 8966, 13426, 17886]",[1001 1000 1005 1003 1002],[775 292 618 368 309]
48,48,5779,6026,"[47, 4507, 8967, 13427, 17887]",[1006 1009 1008 1008 1002],[371 307 282 885 903]
49,49,5780,6916,"[48, 4508, 8968, 13428, 17888]",[1003 1009 1009 1004 1006],[337 208  60 819 643]
50,50,5783,6168,"[49, 4509, 8969, 13429, 17889]",[1008 1007 1005 1003 1005],[885 462 736 244  16]
51,51,5784,6137,"[50, 4510, 8970, 13430, 17890]",[1008 1008 1008 1007 1007],[204 219 477  32 769]
52,52,5788,6744,"[51, 4511, 8971, 13431, 17891]",[1008 1001 1005 1005 1008],[594 621 660 342 666]
53,53,5789,6249,"[52, 4512, 8972, 13432, 17892]",[1006 1005 1004 1007 1009],[226 564 251 979 224]
54,54,5790,5996,"[53, 4513, 8973, 13433, 17893]",[1002 1001 1003 1006 1002],[226 251 787 422 418]
55,55,5797,6077,"[54, 4514, 8974, 13434, 17894]",[1000 1005 1005 1007 1001],[921  60 841 200 174]
56,56,5799,6482,"[55, 4515, 8975, 13435, 17895]",[1006 1009 1009 1008 1000],[537 383 499 577 134]
57,57,5799,6957,"[56, 4516, 8976, 13436, 17896]",[1001 1001 1000 1009 1002],[112 480 583 471 457]
58,58,5800,6472,"[57, 4517, 8977, 13437, 17897]",[1005 1005 1008 1007 1009],[959 458 849 583 761]
59,59,5802,6411,"[58, 4518, 8978, 13438, 17898]",[1001 1002 1003 1009 1005],[392 546 212  69 408]
60,60,5804,6836,"[59, 4519, 8979, 13439, 17899]",[1006 1008 1001 1006 1003],[709 708 838 922 229]
61,61,5805,6350,"[60, 4520, 8980, 13440, 17900]",[1002 1006 1009 1008 1000],[940 843  12 912 814]
62,62,5806,6563,"[61, 4521, 8981, 13441, 17901]",[1006 1006 1004 1007 1009],[943 664 158 930  93]
63,63,5808,6047,"[62, 4522, 8982, 13442, 17902]",[1001 1001 1003 1009 1005],[ 79 759  79 822 388]
64,64,5810,6229,"[63, 4523, 8983, 13443, 17903]",[1004 1006 1003 1005 1008],[922 120 710 818 718]
65,65,5813,6159,"[64, 4524, 8984, 13444, 17904]",[1000 1009 1002 1002 1003],[361 316 433 347 473]
66,66,5817,6311,"[65, 4525, 8985, 13445, 17905]",[1003 1009 1006 1005 1000],[947 590 514 306 450]
67,67,5818,6988,"[66, 4526, 8986, 13446, 17906]",[1009 1006 1009 1002 1003],[861 304 591 477 952]
68,68,5820,6472,"[67, 4527, 8987, 13447, 17907]",[1009 1002 1007 1004 1006],[937  25 280 562 552]
69,69,5822,6200,"[68, 4528, 8988, 13448, 17908]",[1005 1005 1000 1002 1000],[754 223 164 765 815]
70,70,5822,6432,"[69, 4529, 8989, 13449, 17909]",[1000 1001 1009 1002 1009],[872 840 972 136  67]
71,71,5822,6877,"[70, 4530, 8990, 13450, 17910]",[1001 1008 1006 1004 1009],[636 670 872 413 903]
72,72,5825,6594,"[71, 4531, 8991, 13451, 17911]",[1009 1009 1008 1004 1007],[459 606 393 887 765]
73,73,5827,6089,"[72, 4532, 8992, 13452, 17912]",[1001 1009 1001 1008 1004],[390 143 178  24 941]
74,74,5829,6726,"[73, 4533, 8993, 13453, 17913]",[1005 1001 1003 1000 1000],[141  74 649  92 512]
75,75,5833,6392,"[74, 4534, 8994, 13454, 17914]",[1009 1000 1003 1005 1004],[111 233 218 194 220]
76,76,5833,6635,"[75, 4535, 8995, 13455, 17915]",[1003 1008 1004 1001 1008],[588 665 849 622 890]
77,77,5838,6281,"[76, 4536, 8996, 13456, 17916]",[1001 1004 1009 1007 1004],[  6 995  86 622 324]
