city,X,Y,items,weights,profit
0,5639.0,6909.0,[],[],[]
1,5652.0,6142.0,"[0, 4460, 8920, 13380, 17840]",[1008. 1009. 1001. 1005. 1003.],[  1. 594. 864. 631. 421.]
2,5654.0,6101.0,"[1, 4461, 8921, 13381, 17841]",[1006. 1006. 1000. 1001. 1006.],[896. 121.  93. 330. 648.]
3,5659.0,6910.0,"[2, 4462, 8922, 13382, 17842]",[1006. 1009. 1002. 1005. 1007.],[367. 465. 698. 517. 560.]
4,5659.0,6920.0,"[3, 4463, 8923, 13383, 17843]",[1001. 1001. 1007. 1005. 1003.],[690. 892. 280. 675. 812.]
5,5661.0,6182.0,"[4, 4464, 8924, 13384, 17844]",[1006. 1001. 1008. 1000. 1009.],[613. 505. 249. 703. 441.]
6,5663.0,6830.0,"[5, 4465, 8925, 13385, 17845]",[1001. 1005. 1005. 1001. 1008.],[874. 257. 759. 560. 106.]
7,5669.0,6213.0,"[6, 4466, 8926, 13386, 17846]",[1009. 1002. 1002. 1005. 1000.],[122. 636. 330. 884. 104.]
8,5670.0,6425.0,"[7, 4467, 8927, 13387, 17847]",[1004. 1000. 1006. 1002. 1007.],[486. 637. 726. 805. 280.]
9,5671.0,6870.0,"[8, 4468, 8928, 13388, 17848]",[1001. 1002. 1005. 1003. 1005.],[823. 832. 743. 851. 658.]
10,5673.0,6132.0,"[9, 4469, 8929, 13389, 17849]",[1003. 1003. 1007. 1004. 1002.],[463. 827. 453. 878. 555.]
11,5682.0,6840.0,"[10, 4470, 8930, 13390, 17850]",[1004. 1000. 1005. 1003. 1003.],[ 589. 1000.  365.  660.  792.]
12,5690.0,6891.0,"[11, 4471, 8931, 13391, 17851]",[1009. 1007. 1004. 1006. 1009.],[325. 294. 158. 140. 109.]
13,5694.0,6801.0,"[12, 4472, 8932, 13392, 17852]",[1006. 1004. 1009. 1004. 1007.],[1000.  950.  397.  965.  822.]
14,5698.0,6265.0,"[13, 4473, 8933, 13393, 17853]",[1005. 1000. 1000. 1006. 1009.],[776. 592. 141.  17. 228.]
15,5698.0,6952.0,"[14, 4474, 8934, 13394, 17854]",[1000. 1007. 1008. 1001. 1000.],[123. 407. 454. 549. 278.]
16,5701.0,6184.0,"[15, 4475, 8935, 13395, 17855]",[1000. 1005. 1007. 1000. 1004.],[356. 589. 713. 672.  75.]
17,5701.0,6407.0,"[16, 4476, 8936, 13396, 17856]",[1007. 1005. 1003. 1001. 1005.],[305. 627. 188. 441. 136.]
18,5712.0,6154.0,"[17, 4477, 8937, 13397, 17857]",[1006. 1008. 1006. 1000. 1007.],[ 47.  55. 734.  60. 183.]
19,5716.0,6296.0,"[18, 4478, 8938, 13398, 17858]",[1008. 1002. 1004. 1000. 1005.],[645. 455. 903. 160. 889.]
20,5720.0,6438.0,"[19, 4479, 8939, 13399, 17859]",[1000. 1003. 1005. 1007. 1005.],[139. 518. 221. 171. 448.]
21,5722.0,6397.0,"[20, 4480, 8940, 13400, 17860]",[1009. 1000. 1007. 1008. 1006.],[247. 329. 858. 748. 294.]
22,5722.0,6873.0,"[21, 4481, 8941, 13401, 17861]",[1009. 1000. 1006. 1003. 1009.],[211. 244. 393. 214. 754.]
23,5730.0,6458.0,"[22, 4482, 8942, 13402, 17862]",[1007. 1004. 1003. 1009. 1006.],[100. 215. 637. 448. 459.]
24,5731.0,6893.0,"[23, 4483, 8943, 13403, 17863]",[1004. 1004. 1000. 1000. 1006.],[627. 754. 414. 840. 583.]
