city,X,Y,items,weights,profit
0,455050.0,14175.0,[],[],[]
1,454850.0,0.0,[0],[1.],[101.]
2,485050.0,14175.0,[1],[2.],[202.]
3,484850.0,0.0,[2],[4.],[404.]
4,515050.0,14175.0,[3],[2.],[202.]
5,514850.0,0.0,[4],[896.],[996.]
6,681725.0,230450.0,[5],[1792.],[1992.]
7,695900.0,230250.0,[6],[3584.],[3984.]
8,681725.0,260450.0,[7],[367.],[467.]
9,695900.0,260250.0,[8],[734.],[934.]
10,681725.0,290450.0,[9],[1468.],[1868.]
11,695900.0,290250.0,[10],[690.],[790.]
12,681725.0,320450.0,[11],[690.],[790.]
13,695900.0,320250.0,[12],[613.],[713.]
14,681725.0,350450.0,[13],[1226.],[1426.]
15,695900.0,350250.0,[14],[2452.],[2852.]
16,681725.0,380450.0,[15],[874.],[974.]
17,695900.0,380250.0,[16],[874.],[974.]
18,681725.0,410450.0,[17],[122.],[222.]
19,695900.0,410250.0,[18],[244.],[444.]
20,681725.0,440450.0,[19],[488.],[888.]
21,695900.0,440250.0,[20],[366.],[666.]
22,681725.0,470450.0,[21],[486.],[586.]
23,695900.0,470250.0,[22],[972.],[1172.]
24,681725.0,500450.0,[23],[972.],[1172.]
25,695900.0,500250.0,[24],[823.],[923.]
26,419850.0,590725.0,[25],[823.],[923.]
27,420050.0,604900.0,[26],[463.],[563.]
28,389850.0,590725.0,[27],[926.],[1126.]
29,390050.0,604900.0,[28],[463.],[563.]
30,359850.0,590725.0,[29],[589.],[689.]
31,360050.0,604900.0,[30],[1178.],[1378.]
32,329850.0,590725.0,[31],[1178.],[1378.]
33,330050.0,604900.0,[32],[325.],[425.]
34,299850.0,590725.0,[33],[650.],[850.]
35,300050.0,604900.0,[34],[1300.],[1700.]
36,269850.0,590725.0,[35],[975.],[1275.]
37,270050.0,604900.0,[36],[1000.],[1100.]
38,239850.0,590725.0,[37],[2000.],[2200.]
39,240050.0,604900.0,[38],[4000.],[4400.]
40,575050.0,14175.0,[39],[776.],[876.]
41,574850.0,0.0,[40],[1552.],[1752.]
42,545050.0,14175.0,[41],[2328.],[2628.]
43,544850.0,0.0,[42],[123.],[223.]
44,449850.0,590725.0,[43],[356.],[456.]
45,450050.0,604900.0,[44],[305.],[405.]
46,479850.0,590725.0,[45],[610.],[810.]
47,480050.0,604900.0,[46],[1220.],[1620.]
48,509850.0,590725.0,[47],[305.],[405.]
49,510050.0,604900.0,[48],[47.],[147.]
50,539850.0,590725.0,[49],[94.],[294.]
51,540050.0,604900.0,[50],[188.],[588.]
52,569850.0,590725.0,[51],[645.],[745.]
53,570050.0,604900.0,[52],[1290.],[1490.]
54,425050.0,14175.0,[53],[2580.],[2980.]
55,424850.0,0.0,[54],[1290.],[1490.]
56,395050.0,14175.0,[55],[139.],[239.]
57,394850.0,0.0,[56],[247.],[347.]
58,365050.0,14175.0,[57],[494.],[694.]
59,364850.0,0.0,[58],[988.],[1388.]
60,335050.0,14175.0,[59],[741.],[1041.]
61,334850.0,0.0,[60],[211.],[311.]
62,305050.0,14175.0,[61],[422.],[622.]
63,304850.0,0.0,[62],[844.],[1244.]
64,275050.0,14175.0,[63],[633.],[933.]
65,274850.0,0.0,[64],[100.],[200.]
66,245050.0,14175.0,[65],[200.],[400.]
67,244850.0,0.0,[66],[400.],[800.]
68,215050.0,14175.0,[67],[100.],[200.]
69,214850.0,0.0,[68],[627.],[727.]
70,185050.0,14175.0,[69],[1254.],[1454.]
71,184850.0,0.0,[70],[1254.],[1454.]
72,155050.0,14175.0,[71],[760.],[860.]
73,154850.0,0.0,[72],[1520.],[1720.]
74,125050.0,14175.0,[73],[776.],[876.]
75,124850.0,0.0,[74],[1552.],[1752.]
76,16175.0,555250.0,[75],[3104.],[3504.]
77,2000.0,555450.0,[76],[475.],[575.]
78,119850.0,590725.0,[77],[950.],[1150.]
79,120050.0,604900.0,[78],[1900.],[2300.]
80,149850.0,590725.0,[79],[937.],[1037.]
81,150050.0,604900.0,[80],[1874.],[2074.]
82,179850.0,590725.0,[81],[3748.],[4148.]
83,180050.0,604900.0,[82],[937.],[1037.]
84,209850.0,590725.0,[83],[101.],[201.]
85,210050.0,604900.0,[84],[202.],[402.]
86,681725.0,530450.0,[85],[404.],[804.]
87,695900.0,530250.0,[86],[202.],[402.]
88,0.0,75450.0,[87],[281.],[381.]
89,18175.0,75250.0,[88],[562.],[762.]
90,0.0,105450.0,[89],[1124.],[1524.]
91,18175.0,105250.0,[90],[562.],[762.]
92,0.0,135450.0,[91],[751.],[851.]
93,18175.0,135250.0,[92],[1502.],[1702.]
94,0.0,165450.0,[93],[3004.],[3404.]
95,18175.0,165250.0,[94],[1502.],[1702.]
96,0.0,195450.0,[95],[530.],[630.]
97,18175.0,195250.0,[96],[1060.],[1260.]
98,0.0,225450.0,[97],[2120.],[2520.]
99,18175.0,225250.0,[98],[240.],[340.]
100,0.0,255450.0,[99],[480.],[680.]
101,18175.0,255250.0,[100],[480.],[680.]
102,0.0,285450.0,[101],[248.],[348.]
103,18175.0,285250.0,[102],[496.],[696.]
104,0.0,315450.0,[103],[744.],[1044.]
105,18175.0,315250.0,[104],[768.],[868.]
106,0.0,345450.0,[105],[31.],[131.]
107,18175.0,345250.0,[106],[62.],[262.]
108,0.0,375450.0,[107],[31.],[131.]
109,18175.0,375250.0,[108],[613.],[713.]
110,0.0,405450.0,[109],[1226.],[1426.]
111,18175.0,405250.0,[110],[2452.],[2852.]
112,0.0,435450.0,[111],[613.],[713.]
113,18175.0,435250.0,[112],[881.],[981.]
114,0.0,465450.0,[113],[1762.],[1962.]
115,18175.0,465250.0,[114],[1762.],[1962.]
116,0.0,495450.0,[115],[367.],[467.]
117,18175.0,495250.0,[116],[734.],[934.]
118,0.0,525450.0,[117],[1468.],[1868.]
119,18175.0,525250.0,[118],[367.],[467.]
120,697900.0,50250.0,[119],[712.],[812.]
121,679725.0,50450.0,[120],[410.],[510.]
122,697900.0,80250.0,[121],[820.],[1020.]
123,679725.0,80450.0,[122],[1640.],[2040.]
124,697900.0,110250.0,[123],[410.],[510.]
125,679725.0,110450.0,[124],[157.],[257.]
126,697900.0,140250.0,[125],[314.],[514.]
127,679725.0,140450.0,[126],[628.],[1028.]
128,697900.0,170250.0,[127],[471.],[771.]
129,679725.0,170450.0,[128],[824.],[924.]
130,697900.0,200250.0,[129],[242.],[342.]
131,679725.0,200450.0,[130],[472.],[572.]
132,35450.0,32850.0,[131],[944.],[1144.]
133,35450.0,34850.0,[132],[1416.],[1716.]
134,35450.0,36850.0,[133],[722.],[822.]
135,35450.0,38850.0,[134],[1444.],[1644.]
136,35450.0,40850.0,[135],[2888.],[3288.]
137,35450.0,42850.0,[136],[775.],[875.]
138,35450.0,44850.0,[137],[775.],[875.]
139,35450.0,46850.0,[138],[371.],[471.]
140,35450.0,48850.0,[139],[742.],[942.]
141,35450.0,50850.0,[140],[1484.],[1884.]
142,35450.0,52850.0,[141],[337.],[437.]
143,35450.0,54850.0,[142],[674.],[874.]
144,35450.0,56850.0,[143],[337.],[437.]
145,35450.0,58850.0,[144],[885.],[985.]
146,35450.0,60850.0,[145],[1770.],[1970.]
147,35450.0,62850.0,[146],[3540.],[3940.]
148,35450.0,64850.0,[147],[1770.],[1970.]
149,35450.0,66850.0,[148],[204.],[304.]
150,35450.0,70850.0,[149],[408.],[608.]
151,35450.0,72850.0,[150],[816.],[1216.]
152,35450.0,74850.0,[151],[408.],[608.]
153,35450.0,76850.0,[152],[594.],[694.]
154,35450.0,78850.0,[153],[1188.],[1388.]
155,35450.0,80850.0,[154],[2376.],[2776.]
156,35450.0,82850.0,[155],[1188.],[1388.]
157,35450.0,84850.0,[156],[226.],[326.]
158,35450.0,86850.0,[157],[452.],[652.]
159,35450.0,88850.0,[158],[904.],[1304.]
160,35450.0,90850.0,[159],[226.],[326.]
161,35450.0,92850.0,[160],[452.],[652.]
162,35450.0,94850.0,[161],[921.],[1021.]
163,35450.0,96850.0,[162],[537.],[637.]
164,35450.0,100850.0,[163],[1074.],[1274.]
165,35450.0,102850.0,[164],[2148.],[2548.]
166,35450.0,104850.0,[165],[112.],[212.]
167,35450.0,106850.0,[166],[112.],[212.]
168,35450.0,108850.0,[167],[959.],[1059.]
169,35450.0,110850.0,[168],[1918.],[2118.]
170,35450.0,112850.0,[169],[2877.],[3177.]
171,35450.0,114850.0,[170],[392.],[492.]
172,35450.0,116850.0,[171],[392.],[492.]
173,35450.0,118850.0,[172],[709.],[809.]
174,35450.0,120850.0,[173],[1418.],[1618.]
175,35450.0,122850.0,[174],[2836.],[3236.]
176,35450.0,124850.0,[175],[940.],[1040.]
177,35450.0,126850.0,[176],[1880.],[2080.]
178,35450.0,130850.0,[177],[943.],[1043.]
179,35450.0,132850.0,[178],[1886.],[2086.]
180,35450.0,134850.0,[179],[3772.],[4172.]
181,35450.0,136850.0,[180],[79.],[179.]
182,35450.0,138850.0,[181],[79.],[179.]
183,35450.0,140850.0,[182],[922.],[1022.]
184,35450.0,142850.0,[183],[1844.],[2044.]
185,35450.0,144850.0,[184],[1844.],[2044.]
186,35450.0,146850.0,[185],[361.],[461.]
187,35450.0,148850.0,[186],[947.],[1047.]
188,35450.0,150850.0,[187],[1894.],[2094.]
189,35450.0,152850.0,[188],[947.],[1047.]
190,35450.0,154850.0,[189],[861.],[961.]
191,35450.0,156850.0,[190],[1722.],[1922.]
192,35450.0,160850.0,[191],[3444.],[3844.]
193,35450.0,162850.0,[192],[2583.],[2883.]
194,35450.0,164850.0,[193],[937.],[1037.]
195,35450.0,166850.0,[194],[1874.],[2074.]
196,35450.0,168850.0,[195],[3748.],[4148.]
197,35450.0,170850.0,[196],[2811.],[3111.]
198,35450.0,172850.0,[197],[754.],[854.]
199,35450.0,174850.0,[198],[1508.],[1708.]
200,35450.0,176850.0,[199],[2262.],[2562.]
201,35450.0,178850.0,[200],[872.],[972.]
202,35450.0,180850.0,[201],[636.],[736.]
203,35450.0,182850.0,[202],[636.],[736.]
204,35450.0,184850.0,[203],[459.],[559.]
205,35450.0,186850.0,[204],[918.],[1118.]
206,35450.0,190850.0,[205],[1836.],[2236.]
207,35450.0,192850.0,[206],[1377.],[1677.]
208,35450.0,194850.0,[207],[390.],[490.]
209,35450.0,196850.0,[208],[390.],[490.]
210,35450.0,198850.0,[209],[141.],[241.]
211,35450.0,200850.0,[210],[282.],[482.]
212,35450.0,202850.0,[211],[423.],[723.]
213,35450.0,204850.0,[212],[111.],[211.]
214,35450.0,206850.0,[213],[222.],[422.]
215,35450.0,208850.0,[214],[444.],[844.]
216,35450.0,210850.0,[215],[333.],[633.]
217,35450.0,212850.0,[216],[588.],[688.]
218,35450.0,214850.0,[217],[1176.],[1376.]
219,35450.0,216850.0,[218],[588.],[688.]
220,35450.0,220850.0,[219],[6.],[106.]
221,35450.0,222850.0,[220],[6.],[106.]
222,35450.0,224850.0,[221],[155.],[255.]
223,35450.0,226850.0,[222],[310.],[510.]
224,35450.0,228850.0,[223],[620.],[1020.]
225,35450.0,230850.0,[224],[465.],[765.]
226,35450.0,232850.0,[225],[723.],[823.]
227,35450.0,234850.0,[226],[1446.],[1646.]
228,35450.0,236850.0,[227],[2892.],[3292.]
229,35450.0,238850.0,[228],[1446.],[1646.]
230,35450.0,240850.0,[229],[723.],[823.]
231,35450.0,242850.0,[230],[1446.],[1646.]
232,35450.0,244850.0,[231],[2892.],[3292.]
233,35450.0,246850.0,[232],[2169.],[2469.]
234,35450.0,250850.0,[233],[667.],[767.]
235,35450.0,252850.0,[234],[1334.],[1534.]
236,35450.0,254850.0,[235],[1334.],[1534.]
237,35450.0,256850.0,[236],[829.],[929.]
238,35450.0,258850.0,[237],[1658.],[1858.]
239,35450.0,260850.0,[238],[3316.],[3716.]
240,35450.0,262850.0,[239],[829.],[929.]
241,35450.0,264850.0,[240],[487.],[587.]
242,35450.0,266850.0,[241],[974.],[1174.]
243,35450.0,268850.0,[242],[974.],[1174.]
244,35450.0,270850.0,[243],[590.],[690.]
245,35450.0,272850.0,[244],[1180.],[1380.]
246,35450.0,274850.0,[245],[2360.],[2760.]
247,35450.0,276850.0,[246],[1180.],[1380.]
248,35450.0,280850.0,[247],[370.],[470.]
249,35450.0,282850.0,[248],[740.],[940.]
250,35450.0,284850.0,[249],[1480.],[1880.]
251,35450.0,286850.0,[250],[823.],[923.]
252,35450.0,288850.0,[251],[1646.],[1846.]
253,35450.0,290850.0,[252],[3292.],[3692.]
254,35450.0,292850.0,[253],[823.],[923.]
255,35450.0,294850.0,[254],[173.],[273.]
256,35450.0,296850.0,[255],[346.],[546.]
257,35450.0,298850.0,[256],[56.],[156.]
258,35450.0,300850.0,[257],[977.],[1077.]
259,35450.0,302850.0,[258],[1954.],[2154.]
260,35450.0,304850.0,[259],[2931.],[3231.]
261,35450.0,306850.0,[260],[681.],[781.]
262,35450.0,310850.0,[261],[1362.],[1562.]
263,35450.0,312850.0,[262],[2043.],[2343.]
264,35450.0,314850.0,[263],[689.],[789.]
265,35450.0,316850.0,[264],[1378.],[1578.]
266,35450.0,318850.0,[265],[2756.],[3156.]
267,35450.0,320850.0,[266],[689.],[789.]
268,35450.0,322850.0,[267],[933.],[1033.]
269,35450.0,324850.0,[268],[1866.],[2066.]
270,35450.0,326850.0,[269],[2799.],[3099.]
271,35450.0,328850.0,[270],[809.],[909.]
272,35450.0,330850.0,[271],[1618.],[1818.]
273,35450.0,332850.0,[272],[587.],[687.]
274,35450.0,334850.0,[273],[1174.],[1374.]
275,35450.0,336850.0,[274],[686.],[786.]
276,35450.0,340850.0,[275],[1372.],[1572.]
277,35450.0,342850.0,[276],[686.],[786.]
278,35450.0,344850.0,[277],[466.],[566.]
279,35450.0,346850.0,[278],[356.],[456.]
280,35450.0,348850.0,[279],[712.],[912.]
281,35450.0,350850.0,[280],[712.],[912.]
282,35450.0,352850.0,[281],[784.],[884.]
283,35450.0,354850.0,[282],[784.],[884.]
284,35450.0,356850.0,[283],[862.],[962.]
285,35450.0,358850.0,[284],[1724.],[1924.]
286,35450.0,360850.0,[285],[3448.],[3848.]
287,35450.0,362850.0,[286],[2586.],[2886.]
288,35450.0,364850.0,[287],[223.],[323.]
289,35450.0,366850.0,[288],[446.],[646.]
290,35450.0,370850.0,[289],[892.],[1292.]
291,35450.0,372850.0,[290],[669.],[969.]
292,35450.0,374850.0,[291],[541.],[641.]
293,35450.0,376850.0,[292],[1082.],[1282.]
294,35450.0,378850.0,[293],[2164.],[2564.]
295,35450.0,380850.0,[294],[61.],[161.]
296,35450.0,382850.0,[295],[122.],[322.]
297,35450.0,384850.0,[296],[416.],[516.]
298,35450.0,386850.0,[297],[416.],[516.]
299,35450.0,388850.0,[298],[62.],[162.]
300,35450.0,390850.0,[299],[62.],[162.]
301,35450.0,392850.0,[300],[205.],[305.]
302,35450.0,394850.0,[301],[410.],[610.]
303,35450.0,396850.0,[302],[152.],[252.]
304,35450.0,400850.0,[303],[304.],[504.]
305,35450.0,402850.0,[304],[608.],[1008.]
306,35450.0,404850.0,[305],[304.],[504.]
307,35450.0,406850.0,[306],[913.],[1013.]
308,35450.0,408850.0,[307],[1826.],[2026.]
309,35450.0,410850.0,[308],[3652.],[4052.]
310,35450.0,412850.0,[309],[2739.],[3039.]
311,35450.0,414850.0,[310],[267.],[367.]
312,35450.0,416850.0,[311],[534.],[734.]
313,35450.0,418850.0,[312],[1068.],[1468.]
314,35450.0,420850.0,[313],[249.],[349.]
315,35450.0,422850.0,[314],[498.],[698.]
316,35450.0,424850.0,[315],[249.],[349.]
317,35450.0,426850.0,[316],[187.],[287.]
318,35450.0,430850.0,[317],[374.],[574.]
319,35450.0,432850.0,[318],[748.],[1148.]
320,35450.0,434850.0,[319],[561.],[861.]
321,35450.0,436850.0,[320],[174.],[274.]
322,35450.0,438850.0,[321],[348.],[548.]
323,35450.0,440850.0,[322],[174.],[274.]
324,35450.0,442850.0,[323],[939.],[1039.]
325,35450.0,444850.0,[324],[939.],[1039.]
326,35450.0,446850.0,[325],[519.],[619.]
327,35450.0,448850.0,[326],[1038.],[1238.]
328,35450.0,450850.0,[327],[1038.],[1238.]
329,35450.0,452850.0,[328],[56.],[156.]
330,35450.0,454850.0,[329],[112.],[312.]
331,35450.0,456850.0,[330],[224.],[624.]
332,35450.0,460850.0,[331],[112.],[312.]
333,35450.0,462850.0,[332],[381.],[481.]
334,35450.0,464850.0,[333],[762.],[962.]
335,35450.0,466850.0,[334],[1524.],[1924.]
336,35450.0,468850.0,[335],[762.],[962.]
337,35450.0,470850.0,[336],[551.],[651.]
338,35450.0,472850.0,[337],[1102.],[1302.]
339,35450.0,474850.0,[338],[1102.],[1302.]
340,35450.0,476850.0,[339],[128.],[228.]
341,35450.0,478850.0,[340],[256.],[456.]
342,35450.0,480850.0,[341],[512.],[912.]
343,35450.0,482850.0,[342],[812.],[912.]
344,35450.0,484850.0,[343],[1624.],[1824.]
345,35450.0,486850.0,[344],[3248.],[3648.]
346,35450.0,490850.0,[345],[2436.],[2736.]
347,35450.0,492850.0,[346],[753.],[853.]
348,35450.0,494850.0,[347],[1506.],[1706.]
349,35450.0,496850.0,[348],[3012.],[3412.]
350,35450.0,498850.0,[349],[1506.],[1706.]
351,35450.0,500850.0,[350],[544.],[644.]
352,35450.0,502850.0,[351],[1088.],[1288.]
353,35450.0,504850.0,[352],[544.],[644.]
354,35450.0,506850.0,[353],[684.],[784.]
355,35450.0,508850.0,[354],[1368.],[1568.]
356,35450.0,510850.0,[355],[2052.],[2352.]
357,35450.0,512850.0,[356],[830.],[930.]
358,35450.0,514850.0,[357],[1660.],[1860.]
359,35450.0,516850.0,[358],[1660.],[1860.]
360,35450.0,520850.0,[359],[725.],[825.]
361,35450.0,522850.0,[360],[1450.],[1650.]
362,35450.0,524850.0,[361],[2900.],[3300.]
363,35450.0,526850.0,[362],[2175.],[2475.]
364,35450.0,528850.0,[363],[330.],[430.]
365,35450.0,530850.0,[364],[660.],[860.]
366,35450.0,532850.0,[365],[330.],[430.]
367,35450.0,534850.0,[366],[115.],[215.]
368,35450.0,536850.0,[367],[38.],[138.]
369,35450.0,538850.0,[368],[76.],[276.]
370,35450.0,540850.0,[369],[445.],[545.]
371,35450.0,544850.0,[370],[890.],[1090.]
372,35450.0,546850.0,[371],[1335.],[1635.]
373,35450.0,548850.0,[372],[619.],[719.]
374,35450.0,550850.0,[373],[1238.],[1438.]
375,35450.0,552850.0,[374],[2476.],[2876.]
376,35450.0,554850.0,[375],[1857.],[2157.]
377,35450.0,556850.0,[376],[648.],[748.]
378,35450.0,558850.0,[377],[896.],[996.]
379,35450.0,560850.0,[378],[1792.],[1992.]
380,35450.0,562850.0,[379],[2688.],[2988.]
381,35450.0,564850.0,[380],[658.],[758.]
382,35450.0,566850.0,[381],[1316.],[1516.]
383,35450.0,568850.0,[382],[2632.],[3032.]
384,35450.0,570850.0,[383],[306.],[406.]
385,81450.0,32850.0,[384],[612.],[812.]
386,37450.0,52850.0,[385],[918.],[1218.]
387,77450.0,54850.0,[386],[806.],[906.]
388,39450.0,56850.0,[387],[1612.],[1812.]
389,81450.0,68850.0,[388],[3224.],[3624.]
390,73450.0,70850.0,[389],[1612.],[1812.]
391,43450.0,72850.0,[390],[800.],[900.]
392,79450.0,90850.0,[391],[1600.],[1800.]
393,81450.0,98850.0,[392],[612.],[712.]
394,71450.0,104850.0,[393],[1224.],[1424.]
395,75450.0,106850.0,[394],[354.],[454.]
396,79450.0,108850.0,[395],[300.],[400.]
397,43450.0,110850.0,[396],[600.],[800.]
398,41450.0,118850.0,[397],[1200.],[1600.]
399,79450.0,120850.0,[398],[600.],[800.]
400,73450.0,124850.0,[399],[174.],[274.]
401,81450.0,128850.0,[400],[348.],[548.]
402,45450.0,152850.0,[401],[696.],[1096.]
403,79450.0,156850.0,[402],[348.],[548.]
404,47450.0,158850.0,[403],[751.],[851.]
405,41450.0,172850.0,[404],[1502.],[1702.]
406,45450.0,186850.0,[405],[126.],[226.]
407,47450.0,188850.0,[406],[126.],[226.]
408,73450.0,188850.0,[407],[603.],[703.]
409,75450.0,192850.0,[408],[603.],[703.]
410,71450.0,206850.0,[409],[665.],[765.]
411,39450.0,210850.0,[410],[209.],[309.]
412,41450.0,218850.0,[411],[418.],[618.]
413,39450.0,222850.0,[412],[836.],[1236.]
414,43450.0,226850.0,[413],[308.],[408.]
415,77450.0,242850.0,[414],[308.],[408.]
416,79450.0,248850.0,[415],[616.],[816.]
417,75450.0,254850.0,[416],[1232.],[1632.]
418,77450.0,256850.0,[417],[924.],[1224.]
419,73450.0,260850.0,[418],[677.],[777.]
420,75450.0,274850.0,[419],[1354.],[1554.]
421,37450.0,278850.0,[420],[2708.],[3108.]
422,77450.0,278850.0,[421],[2031.],[2331.]
423,41450.0,294850.0,[422],[863.],[963.]
424,37450.0,308850.0,[423],[1726.],[1926.]
425,71450.0,318850.0,[424],[2589.],[2889.]
426,77450.0,322850.0,[425],[292.],[392.]
427,73450.0,324850.0,[426],[292.],[392.]
428,81450.0,328850.0,[427],[444.],[544.]
429,75450.0,342850.0,[428],[888.],[1088.]
430,81450.0,344850.0,[429],[1776.],[2176.]
431,43450.0,360850.0,[430],[444.],[544.]
432,37450.0,362850.0,[431],[295.],[395.]
433,79450.0,378850.0,[432],[413.],[513.]
434,81450.0,390850.0,[433],[72.],[172.]
435,43450.0,394850.0,[434],[144.],[344.]
436,77450.0,396850.0,[435],[288.],[688.]
437,81450.0,414850.0,[436],[72.],[172.]
438,41450.0,418850.0,[437],[321.],[421.]
439,75450.0,424850.0,[438],[642.],[842.]
440,41450.0,428850.0,[439],[321.],[421.]
441,81450.0,428850.0,[440],[981.],[1081.]
442,79450.0,446850.0,[441],[1962.],[2162.]
443,39450.0,458850.0,[442],[981.],[1081.]
444,77450.0,464850.0,[443],[797.],[897.]
445,43450.0,478850.0,[444],[1594.],[1794.]
446,71450.0,480850.0,[445],[1594.],[1794.]
447,77450.0,482850.0,[446],[507.],[607.]
448,41450.0,488850.0,[447],[1014.],[1214.]
449,73450.0,494850.0,[448],[2028.],[2428.]
450,41450.0,496850.0,[449],[1014.],[1214.]
451,37450.0,498850.0,[450],[715.],[815.]
452,39450.0,518850.0,[451],[715.],[815.]
453,77450.0,524850.0,[452],[512.],[612.]
454,39450.0,528850.0,[453],[1024.],[1224.]
455,41450.0,530850.0,[454],[2048.],[2448.]
456,75450.0,532850.0,[455],[512.],[612.]
457,37450.0,566850.0,[456],[892.],[992.]
458,79450.0,568850.0,[457],[1784.],[1984.]
459,83450.0,36850.0,[458],[1784.],[1984.]
460,83450.0,38850.0,[459],[76.],[176.]
461,83450.0,40850.0,[460],[152.],[352.]
462,83450.0,42850.0,[461],[152.],[352.]
463,83450.0,44850.0,[462],[22.],[122.]
464,83450.0,46850.0,[463],[44.],[244.]
465,83450.0,48850.0,[464],[88.],[488.]
466,83450.0,50850.0,[465],[44.],[244.]
467,83450.0,58850.0,[466],[643.],[743.]
468,83450.0,60850.0,[467],[1286.],[1486.]
469,83450.0,62850.0,[468],[643.],[743.]
470,83450.0,64850.0,[469],[866.],[966.]
471,83450.0,66850.0,[470],[1732.],[1932.]
472,83450.0,68850.0,[471],[1732.],[1932.]
473,83450.0,74850.0,[472],[74.],[174.]
474,83450.0,76850.0,[473],[148.],[348.]
475,83450.0,78850.0,[474],[148.],[348.]
476,83450.0,80850.0,[475],[508.],[608.]
477,83450.0,82850.0,[476],[1016.],[1216.]
478,83450.0,84850.0,[477],[1524.],[1824.]
479,83450.0,86850.0,[478],[243.],[343.]
480,83450.0,88850.0,[479],[776.],[876.]
481,83450.0,92850.0,[480],[1552.],[1752.]
482,83450.0,94850.0,[481],[3104.],[3504.]
483,83450.0,96850.0,[482],[326.],[426.]
484,83450.0,98850.0,[483],[652.],[852.]
485,83450.0,100850.0,[484],[1304.],[1704.]
